"","date","R_med_EpiEstim","R_low_EpiEstim","R_up_EpiEstim","R_med_EpiNow2","R_low_EpiNow2","R_up_EpiNow2"
"1",2020-06-16,1.06378797121362,1.04141619809095,1.08647786857784,1.05319321646153,1.02876565651907,1.07326020443274
"2",2020-06-17,1.05965780275702,1.03730279533525,1.08233171017431,1.05241140169518,1.02668737128962,1.07111694186987
"3",2020-06-19,1.05646045318565,1.03415727928578,1.07908201382376,1.05200883195539,1.02636217179907,1.06867789974403
"4",2020-06-20,1.01967572835557,0.997828962306537,1.04183907160815,1.05103386620213,1.02814120111653,1.07003457000411
"5",2020-06-21,1.04245282985324,1.02030911823417,1.06491463718132,1.04988507265541,1.02653299022844,1.06839121383253
"6",2020-06-22,0.996608757308678,0.975026388181054,1.01850728788339,1.04904477573532,1.02623747640015,1.069025037757
"7",2020-06-23,0.974928384135408,0.953492808496422,0.996682842180795,1.04764514365735,1.026995643353,1.06945506609907
"8",2020-06-24,1.01262027713292,0.990609815408103,1.03495438523319,1.04746482628471,1.02200209490739,1.0646744473602
"9",2020-06-27,1.10154857730269,1.07860375205346,1.12481651802568,1.04405640007963,1.02643794366404,1.06977672819317
"10",2020-06-28,1.06747614751687,1.0452700628797,1.08999453050686,1.04397003804883,1.02249310716562,1.06592285594071
"11",2020-06-30,1.01125004695457,0.98984999959,1.03295633349101,1.04161608840417,1.0224188666863,1.06616363119592
"12",2020-07-01,1.05321507809424,1.03134407926846,1.07539311575679,1.0408816732071,1.02194911930199,1.06640868603955
"13",2020-07-03,1.07147838622506,1.04956848611185,1.09369110104734,1.0392052477328,1.02348986308368,1.06895536182275
"14",2020-07-04,1.08837761223137,1.06652437575153,1.11052734734705,1.03811706520763,1.02101909100673,1.06755652222184
"15",2020-07-05,1.07964711574619,1.0581601554833,1.10142300214377,1.03727694163575,1.01675503476124,1.06519879470988
"16",2020-07-06,0.959707542334698,0.939673871225549,0.980023953523977,1.03665437110289,1.01944709165575,1.067924245294
"17",2020-07-07,0.924736414167482,0.904854225298561,0.944907737587752,1.03675880359343,1.01959486355924,1.06783718127955
"18",2020-07-08,1.0081909438923,0.987087256909596,1.02959330391083,1.03595707786533,1.01809774712188,1.06700517024242
"19",2020-07-09,0.979357713708995,0.958594752081256,1.00041834766273,1.0352330082392,1.01523188266124,1.0638519458152
"20",2020-07-10,0.981114083336983,0.960267158873184,1.00226056496962,1.03338083068932,1.01974517842712,1.06860546899598
"21",2020-07-11,1.001723842243,0.980589802183099,1.02315938272286,1.03262320797493,1.0165360440423,1.06675999764702
"22",2020-07-12,0.994849944709849,0.973806835902316,1.01619404147661,1.03247329737699,1.01868005004636,1.06887691625159
"23",2020-07-13,0.991025845315563,0.970011797748518,1.01234121898386,1.03120813786089,1.0175470892294,1.06805960435674
"24",2020-07-14,1.01385019714705,0.992563155437348,1.03543944119861,1.03056959587051,1.01621728952081,1.0665494203631
"25",2020-07-15,1.01146248484429,0.990258631693834,1.03296688413898,1.03073312756721,1.01609815384076,1.068159325179
"26",2020-07-16,1.03155371834166,1.01018320664274,1.05322352311671,1.03029453997913,1.00894987542669,1.06060005114503
"27",2020-07-17,1.00636965465941,0.985375108786841,1.02766031306016,1.0297489335373,1.01303604583532,1.06327793342361
"28",2020-07-18,0.994122838937173,0.973266862661837,1.01527465527923,1.02996000693602,1.01139113053862,1.06243037806292
"29",2020-07-19,0.974051434124952,0.953370484007242,0.995029324796026,1.0298836661174,1.00614686777175,1.0581862405044
"30",2020-07-20,0.969577589270559,0.948840344354165,0.990614802898787,1.02951995596237,1.00960742545515,1.06158221857304
"31",2020-07-21,0.978879229553779,0.957931733278294,1.00012990191961,1.02799312716041,1.00819683880782,1.06032583517739
"32",2020-07-22,0.977241629722845,0.956248362301878,0.998539926971177,1.02777430997502,1.01013950982828,1.06192333681961
"33",2020-07-23,0.955736188911098,0.934911799025869,0.976867538339945,1.02776815833648,1.00799088141315,1.06111066859269
"34",2020-07-24,0.950218668659336,0.929309144127664,0.971439510363382,1.02804198304773,1.01178539574726,1.06579051987534
"35",2020-07-25,0.951845086213223,0.930757366700365,0.973248942780038,1.02780501673091,1.01523203707727,1.06998656534768
"36",2020-07-26,0.972842115991177,0.951376077859123,0.994628646378547,1.02740699038726,1.00900136618791,1.06466457112835
"37",2020-07-27,0.976396693583025,0.954832940914184,0.998282689864246,1.02707812014902,1.0104510500872,1.06772512606766
"38",2020-07-28,0.949810464873817,0.928497231842571,0.971447387088411,1.0268146597017,1.00704060272008,1.06434446719384
"39",2020-07-29,0.938265881582088,0.916926555432076,0.959933750271987,1.02666017472809,1.00589138979314,1.06272500518319
"40",2020-07-30,0.951137717178224,0.929451137766443,0.973159039780297,1.02729957932722,1.00858370535673,1.0659154440569
"41",2020-07-31,0.967062309033621,0.945054613909912,0.989409047247898,1.02771586574898,1.00481343839325,1.06238519545073
"42",2020-08-01,0.969013319976289,0.946911628601145,0.991456280170363,1.02800602250514,1.00552132055731,1.06165169450613
"43",2020-08-02,0.975778050827504,0.953528138102731,0.998371425856004,1.02855772806865,1.00739306550318,1.0635266099062
"44",2020-08-03,0.973395042634286,0.951121868626122,0.99601325876308,1.02887767957499,1.00841309795637,1.06391624178091
"45",2020-08-04,0.980418732742716,0.957998695540464,1.00318586938424,1.02925970541476,1.01182037595047,1.06671148957206
"46",2020-08-05,0.986276018708971,0.963746748200142,1.00915369170569,1.02998526252185,1.01084397151159,1.067182947365
"47",2020-08-06,0.947563469513514,0.925463051168974,0.970012963870677,1.03145038468868,1.01180855554585,1.06734415984944
"48",2020-08-07,0.932475548464677,0.910372438197461,0.95493356112905,1.03293923909888,1.00991946106976,1.06658903184615
"49",2020-08-08,0.989026426907698,0.966014713627709,1.01240071755807,1.03368127697283,1.00799171638308,1.06539688733336
"50",2020-08-09,0.982547167522961,0.95962262897444,1.00583393037126,1.0351159608506,1.00449098709419,1.06391831234613
"51",2020-08-11,0.976913246395118,0.954033397233875,1.00015601172642,1.03651409355691,1.01145005814308,1.07333577182324
"52",2020-08-12,1.04247659029587,1.0187719855501,1.06654607826167,1.03778631455555,1.0137118116326,1.07692812682165
"53",2020-08-14,1.00350308967773,0.980455355979337,1.02690921672961,1.04022718701686,1.0131103900272,1.07582969375691
"54",2020-08-15,1.03003506505356,1.00670808305252,1.05371964312176,1.04060911268376,1.00579772474252,1.06984144809723
"55",2020-08-16,1.03989208138025,1.01657285880122,1.06356522140271,1.04171463256091,1.01191149055474,1.07603744804633
"56",2020-08-17,0.950775945438674,0.928635332143087,0.973265713240024,1.04267838739697,1.01137317886829,1.07673132697046
"57",2020-08-20,0.999736828436021,0.976802554713958,1.02302730595143,1.04461850119093,1.0088775579163,1.07685806624229
"58",2020-08-21,1.06835304458525,1.04463217652813,1.09243031711881,1.04467450980228,1.00483462272245,1.07479910553054
"59",2020-08-23,1.02239857481845,0.999488251152789,1.04565635425125,1.04565708482301,0.999416114044047,1.07296975705706
"60",2020-08-24,0.983872193248105,0.961474343082422,1.00661521616054,1.04563501393321,1.00833685207266,1.08345582594275
"61",2020-08-26,1.09280807160357,1.06909133524523,1.11687299701935,1.04574816632456,0.990067666923297,1.06922847583197
"62",2020-08-27,1.10362123974352,1.08015875587106,1.1274210470429,1.04503992908229,0.99120131497187,1.07025796473689
"63",2020-08-28,1.12603165734012,1.10272875525868,1.14966056241293,1.05319321646153,1.02876565651907,1.07326020443274
"64",2020-08-29,1.0835335909643,1.06111143270461,1.10626941293077,1.05241140169518,1.02668737128962,1.07111694186987
"65",2020-08-30,1.04003739645846,1.01830823445552,1.06207349421535,1.05200883195539,1.02636217179907,1.06867789974403
"66",2020-08-31,1.05667080552018,1.03482781367913,1.07881902922743,1.05103386620213,1.02814120111653,1.07003457000411
"67",2020-09-01,1.08986610236492,1.06782403900366,1.11220942821068,1.04988507265541,1.02653299022844,1.06839121383253
"68",2020-09-02,1.03536096343499,1.01415587845897,1.05685959526277,1.04904477573532,1.02623747640015,1.069025037757
"69",2020-09-03,1.04928800368746,1.02800147889927,1.07086636981234,1.04764514365735,1.026995643353,1.06945506609907
"70",2020-09-04,1.11761773868068,1.09576512459012,1.13975897480931,1.04746482628471,1.02200209490739,1.0646744473602
"71",2020-09-05,1.12203250858749,1.1005275613246,1.14381579449178,1.04405640007963,1.02643794366404,1.06977672819317
"72",2020-09-06,1.15260115907488,1.13119269075408,1.17427805069147,1.04397003804883,1.02249310716562,1.06592285594071
"73",2020-09-07,1.16324191536948,1.14220682913661,1.18453368767519,1.04161608840417,1.0224188666863,1.06616363119592
"74",2020-09-08,1.12957502719416,1.10932486544075,1.15007014030054,1.0408816732071,1.02194911930199,1.06640868603955
"75",2020-09-09,1.12627500001557,1.10638796706818,1.14639892702231,1.0392052477328,1.02348986308368,1.06895536182275
"76",2020-09-10,1.16654353837703,1.14662114947851,1.18669536792641,1.03811706520763,1.02101909100673,1.06755652222184
